User Id,Entity Name,Product Type,Exchange,Option Type,Trading Symbol,Net Qty,Last Traded Price,Sell Avg Price,Buy Avg Price,Buy Qty,Sell Qty,Mark To Market,Buy Value,Sell Value,Total Turnover,Net Value,BEP,Instrument Name,Entity Type,Client Type,Strike Price,Option flag,RMS Square Off,Realized MTM,Unrealized MTM,Total Consideration,MTM (Base Currency),Realized MTM (Base Currency),Unrealised MTM (Base Currency),Buy Value (Base Currency),Sell Value (Base Currency),Net Value (Base Currency),Branch Id,Expiry,Actual Buy Avg Price,Actual Sell Avg Price,Actual Buy Value,Actual Sell Value,Actual Mark To Market,Actual Realized MTM,Actual Unrealized MTM,Lot Size,Net Lot,Buy Lot,Sell Lot,Security Id,Giveup Buy Qty,Giveup Sell Qty,Giveup Net Qty,
ZZJ16182,,MIS,NSEFO,CE,NIFTY 17FEB2026 CE 25950,0,142.75,174.63,166.29,3900,3900,32529.25,648537.50,681066.75,1329604.25,32529.25,0.00,OPTIDX,,Non_Institutionals,25950.00,ATM,Included,32529.25,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,17Feb2026,166.29,174.63,648537.50,681066.75,32529.25,32529.25,0.00,65,0,60,60,48234,0,0,0,
ZZJ16182,,MIS,NSEFO,PE,NIFTY 17FEB2026 PE 25700,0,52.95,65.32,65.74,1300,1300,-539.50,85455.50,84916.00,170371.50,-539.50,0.00,OPTIDX,,Non_Institutionals,25700.00,OTM,Included,-539.50,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,17Feb2026,65.74,65.32,85455.50,84916.00,-539.50,-539.50,0.00,65,0,20,20,48225,0,0,0,
ZZJ16184,,MIS,NSEFO,CE,NIFTY 10FEB2026 CE 26600,0,0.10,0.80,0.90,6500,6500,-650.00,5850.00,5200.00,11050.00,-650.00,0.00,OPTIDX,,Non_Institutionals,26600.00,OTM,Included,-650.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,10Feb2026,0.90,0.80,5850.00,5200.00,-650.00,-650.00,0.00,65,0,100,100,42576,0,0,0,
ZZJ16184,,MIS,NSEFO,PE,NIFTY 10FEB2026 PE 25000,0,0.10,0.35,1.45,5850,5850,-6435.00,8482.50,2047.50,10530.00,-6435.00,0.00,OPTIDX,,Non_Institutionals,25000.00,OTM,Included,-6435.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,10Feb2026,1.45,0.35,8482.50,2047.50,-6435.00,-6435.00,0.00,65,0,90,90,42501,0,0,0,
ZZJ16182,,MIS,NSEFO,CE,NIFTY 17FEB2026 CE 26100,0,76.35,82.79,99.59,1300,1300,-21840.00,129467.00,107627.00,237094.00,-21840.00,0.00,OPTIDX,,Non_Institutionals,26100.00,OTM,Included,-21840.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,17Feb2026,99.59,82.79,129467.00,107627.00,-21840.00,-21840.00,0.00,65,0,20,20,48240,0,0,0,
ZZJ16184,,MIS,NSEFO,PE,NIFTY 10FEB2026 PE 25750,0,0.20,2.10,1.20,1755,1755,1579.50,2106.00,3685.50,5791.50,1579.50,0.00,OPTIDX,,Non_Institutionals,25750.00,OTM,Included,1579.50,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,10Feb2026,1.20,2.10,2106.00,3685.50,1579.50,1579.50,0.00,65,0,27,27,42535,0,0,0,
ZZJ16182,,MIS,NSEFO,PE,NIFTY 17FEB2026 PE 25950,0,132.20,133.08,133.60,1300,1300,-669.50,173673.50,173004.00,346677.50,-669.50,0.00,OPTIDX,,Non_Institutionals,25950.00,ATM,Included,-669.50,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,17Feb2026,133.60,133.08,173673.50,173004.00,-669.50,-669.50,0.00,65,0,20,20,48235,0,0,0,
ZZJ16182,,MIS,NSEFO,CE,NIFTY 17FEB2026 CE 26150,0,60.50,75.54,80.64,3900,3900,-19916.00,314509.00,294593.00,609102.00,-19916.00,0.00,OPTIDX,,Non_Institutionals,26150.00,OTM,Included,-19916.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,17Feb2026,80.64,75.54,314509.00,294593.00,-19916.00,-19916.00,0.00,65,0,60,60,48242,0,0,0,
ZZJ16184,,MIS,NSEFO,CE,NIFTY 10FEB2026 CE 26550,0,0.10,0.50,0.90,5850,5850,-2340.00,5265.00,2925.00,8190.00,-2340.00,0.00,OPTIDX,,Non_Institutionals,26550.00,OTM,Included,-2340.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,10Feb2026,0.90,0.50,5265.00,2925.00,-2340.00,-2340.00,0.00,65,0,90,90,42572,0,0,0,
ZZJ16184,,MIS,NSEFO,PE,NIFTY 10FEB2026 PE 24850,0,0.10,1.30,1.70,6500,6500,-2600.00,11050.00,8450.00,19500.00,-2600.00,0.00,OPTIDX,,Non_Institutionals,24850.00,OTM,Included,-2600.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,10Feb2026,1.70,1.30,11050.00,8450.00,-2600.00,-2600.00,0.00,65,0,100,100,42493,0,0,0,
ZZJ16184,,MIS,NSEFO,PE,NIFTY 10FEB2026 PE 25800,0,0.20,5.56,4.18,14365,14365,19864.00,60027.50,79891.50,139919.00,19864.00,0.00,OPTIDX,,Non_Institutionals,25800.00,OTM,Included,19864.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,10Feb2026,4.18,5.56,60027.50,79891.50,19864.00,19864.00,0.00,65,0,221,221,42537,0,0,0,
ZZJ16184,,MIS,NSEFO,PE,NIFTY 10FEB2026 PE 25950,0,7.65,50.35,27.85,1040,1040,23400.00,28964.00,52364.00,81328.00,23400.00,0.00,OPTIDX,,Non_Institutionals,25950.00,ATM,Included,23400.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,10Feb2026,27.85,50.35,28964.00,52364.00,23400.00,23400.00,0.00,65,0,16,16,42545,0,0,0,
