Account Id,Exchange,Trading Symbol,Product Type,Net Qty,Last Traded Price,Buy Qty,Sell Qty,Buy Value,Sell Value,Mark To Market,Total Turnover,Net Value,Buy Avg Price,Sell Avg Price,BEP,Instrument Name,Entity Type,Client Type,Option Type,Strike Price,Option flag,RMS Square Off,Realized MTM,Unrealized MTM,Total Consideration,MTM (Base Currency),Realized MTM (Base Currency),Unrealised MTM (Base Currency),Buy Value (Base Currency),Sell Value (Base Currency),Net Value (Base Currency),Branch Id,Expiry,Actual Buy Avg Price,Actual Sell Avg Price,Actual Buy Value,Actual Sell Value,Actual Mark To Market,Actual Realized MTM,Actual Unrealized MTM,Lot Size,Net Lot,Buy Lot,Sell Lot,Security Id,Giveup Buy Qty,Giveup Sell Qty,Giveup Net Qty,
PR10,BSEFO,SENSEX 12FEB2026 CE 86500,NRML,0,0.05,5700,5700,13971.00,10419.00,-3552.00,24390.00,-3552.00,2.45,1.83,0.00,IO,,Non_Institutionals,CE,86500.00,OTM,Included,-3552.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,2.45,1.83,13971.00,10419.00,-3552.00,-3552.00,0.00,20,0,285,285,828467,0,0,0,
PR20,NSEFO,NIFTY 17FEB2026 PE 24450,NRML,0,3.60,65,65,253.50,273.00,19.50,526.50,19.50,3.90,4.20,0.00,OPTIDX,,Non_Institutionals,PE,24450.00,OTM,Included,19.50,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,17Feb2026,3.90,4.20,253.50,273.00,19.50,19.50,0.00,65,0,1,1,48145,0,0,0,
PR12,BSEFO,SENSEX 12FEB2026 PE 82800,NRML,0,0.05,980,980,5031.00,1866.00,-3165.00,6897.00,-3165.00,5.13,1.90,0.00,IO,,Non_Institutionals,PE,82800.00,OTM,Included,-3165.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,5.13,1.90,5031.00,1866.00,-3165.00,-3165.00,0.00,20,0,49,49,830545,0,0,0,
PR16,BSEFO,SENSEX 12FEB2026 PE 84100,NRML,0,424.25,1280,1280,357228.00,313862.00,-43366.00,671090.00,-43366.00,279.08,245.20,0.00,IO,,Non_Institutionals,PE,84100.00,ITM,Included,-43366.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,279.08,245.20,357228.00,313862.00,-43366.00,-43366.00,0.00,20,0,64,64,824563,0,0,0,
PR14,BSEFO,SENSEX 12FEB2026 CE 85700,NRML,0,0.05,100,100,200.00,105.00,-95.00,305.00,-95.00,2.00,1.05,0.00,IO,,Non_Institutionals,CE,85700.00,OTM,Included,-95.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,2.00,1.05,200.00,105.00,-95.00,-95.00,0.00,20,0,5,5,824665,0,0,0,
PR05,BSEFO,SENSEX 12FEB2026 CE 86700,MIS,0,0.05,400,400,860.00,40.00,-820.00,900.00,-820.00,2.15,0.10,0.00,IO,,Non_Institutionals,CE,86700.00,OTM,Included,-820.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,2.15,0.10,860.00,40.00,-820.00,-820.00,0.00,20,0,20,20,828917,0,0,0,
PR33,BSEFO,SENSEX 12FEB2026 PE 82500,NRML,0,0.05,920,920,3193.00,581.00,-2612.00,3774.00,-2612.00,3.47,0.63,0.00,IO,,Non_Institutionals,PE,82500.00,OTM,Included,-2612.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,3.47,0.63,3193.00,581.00,-2612.00,-2612.00,0.00,20,0,46,46,824147,0,0,0,
PR17,BSEFO,SENSEX 12FEB2026 PE 83500,NRML,0,0.05,60,60,3.00,1422.00,1419.00,1425.00,1419.00,0.05,23.70,0.00,IO,,Non_Institutionals,PE,83500.00,OTM,Included,1419.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,0.05,23.70,3.00,1422.00,1419.00,1419.00,0.00,20,0,3,3,828414,0,0,0,
PR06,BSEFO,SENSEX 12FEB2026 CE 86500,NRML,0,0.05,120,120,243.00,302.00,59.00,545.00,59.00,2.03,2.52,0.00,IO,,Non_Institutionals,CE,86500.00,OTM,Included,59.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,2.03,2.52,243.00,302.00,59.00,59.00,0.00,20,0,6,6,828467,0,0,0,
PR09,BSEFO,SENSEX 12FEB2026 CE 84900,NRML,0,0.05,1460,1460,6705.00,4394.00,-2311.00,11099.00,-2311.00,4.59,3.01,0.00,IO,,Non_Institutionals,CE,84900.00,OTM,Included,-2311.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,4.59,3.01,6705.00,4394.00,-2311.00,-2311.00,0.00,20,0,73,73,828055,0,0,0,
